Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Contenu pedago (product.metafields.custom.contenu_pedago),description (product.metafields.custom.description),Extrait (product.metafields.custom.extrait),Lien achat (product.metafields.custom.lien_achat),Niveau scolaire (product.metafields.custom.niveau),Produit (product.metafields.custom.produit),region (product.metafields.custom.region),Série (product.metafields.custom.s_rie),Tranche d'âge (product.metafields.custom.tranches_d_ge),Genre (product.metafields.shopify.genre),Audience cible (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
le-retour,Le retour,"<div id=""comp-ksqkyxib"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"" data-mce-fragment=""1"">
<h4 class=""font_2"" data-mce-fragment=""1"">Collection L'Autre Monde Tome 2 | Dès 9 ans<br>
</h4>
</div>
<div id=""comp-ksqkyxie"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"" data-mce-fragment=""1"">
<p class=""font_8"" data-mce-fragment=""1""><meta charset=""UTF-8""><span>Lubdan est de retour dans l’Autre Monde, ce qui signifie que les faes sont en danger. Si le roi déchu récupère le trône qui appartient maintenant au roi Henri, il ne fait aucun doute que les faes seront à nouveau pourchassés et bannis de la cité. Alors que Tomas fait connaissance avec son ancêtre et qu’il découvre cet univers, le roi Henri disparaît. On accuse l’adolescent d’avoir enlevé le souverain et sa tête est mise à prix. Tomas doit apprendre à maîtriser ses pouvoirs au plus vite. Il pourra ainsi se défendre et aider ses nouveaux amis à mettre un terme aux manigances du roi déchu.</span>       </p>
</div>",Éditions Boomerang,Non classé,"","9 ans, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/CouvAutre2.jpg?v=1723226256,1,"",false,,,https://boomerangjeunesse.com/wp-content/uploads/2024/06/BM_Fiche-pedagogique_Slalom_Autre-monde-le-retour_V2.pdf,,https://www.calameo.com/read/0037617928a50e7268b4d,https://www.leslibraires.ca/livres/l-autre-monde-t-2-le-carolyn-chouinard-9782897099299.html,,,,,9-12 ans,,,,kg,,,active
compte-a-rebours-2,Le puits magique,"<div id=""comp-ksqkyxib"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"">
<h4 class=""font_2"">Compte à rebours - Tome 2 | Dès 8 ans<br>
</h4>
</div>
<div id=""comp-ksqkyxie"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"">
<p class=""font_8"" style=""text-align: left;""><span>Il y a plus de vingt ans, le grand-père de Nathan a inventé une machine à voyager dans le temps. Depuis, il visite le passé et il raconte ses aventures dans des carnets d’écriture. Dans l’un d’eux, Nathan apprend que Léo a découvert un puits qui exauce les souhaits. Et s’il retrouvait cet artéfact magique pour que son désir le plus cher se réalise ? Il pourrait ainsi faire oublier à ses parents ce projet de déménagement…</span></p>
</div>",Andara,Non classé,"","9 ans, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/CV_CaR_PuitsMagique_Tome2_E2.jpg?v=1714673071,1,"",false,,,,,https://www.calameo.com/read/003761792dcf53b532519,https://www.leslibraires.ca/livres/compte-a-rebours-t-2-le-carolyn-chouinard-9782897467593.html,,,,qui-es-tu-mysterieux-inconnu,9-12 ans,,,,kg,,,active
le-sablier-arc-en-ciel,Le sablier arc-en-ciel,"<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxib"">
<h4 class=""font_2"">
<span>Carnet secret d'une licorne Tome 6</span><span> | Dès 8 ans</span>
</h4>
<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqi6009"">
<p class=""font_8""><span>Cher journal, de fortes pluies ont fait céder la digue et la maison de Rose a été endommagée. La licornette veut renverser le cours du temps pour que le barrage soit renforcé avant qu’il ne cède. Mais est-ce vraiment une bonne idée d’utiliser la magie noire pour parvenir à nos fins? </span></p>
</div>
</div>
<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxie"">
<p style=""text-align: right;"" class=""font_8"">                                                          Princesse Sofia</p>
</div>",Auzou,Non classé,"","8 ans, licorne, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/AUZOU_Roman_Maxi_Carnet-licorne_Tome-6_CV_V4.jpg?v=1711049739,1,"",false,,,,,,https://www.leslibraires.ca/livres/carnet-secret-d-une-licorne-6-carolyn-chouinard-9782898244247.html,,,,,6-8 ans,,,,kg,,,active
aventuriers-des-mers-1,Aventuriers des mers 1,"<h4 class=""font_2"">
<span>Aventuriers des mers </span><span>Tome 1</span><span> | </span><span data-mce-fragment=""1"" mce-data-marked=""1"">Dès 7 ans</span>
</h4>
<p data-mce-fragment=""1"">Prisonnier sur une île légendaire portant le nom de Libertalia, William doit amasser 400 doublons d’or afin d’acheter sa liberté. Mais voilà qu’il entend parler du célèbre pirate La Buse. Avant de mourir, ce bandit des mers aurait lancé dans la foule un mystérieux message codé que personne n’a réussi à déchiffrer jusqu’à maintenant. William parviendra-t-il à résoudre cette énigme et à mettre la main sur le précieux butin afin de rentrer à la maison?</p>
<p data-mce-fragment=""1""><em>*Note: Aventuriers des mers 1 est une adaptation pour les plus jeunes lecteurs de Bandits des mers 1 avec quelques nouvelles énigmes!</em></p>",Les éditions AppLit,,"",Livre,true,Title,Default Title,,,,,,,,,1000.0,,deny,manual,20.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Couv.jpg?v=1711045604,1,"",false,,"Lora Boisvert et Carolyn Chouinard te proposent une expérience immersive géniale alliant littérature et réalité augmentée. Grâce à l’application numérique, plonge au cœur de l’intrigue, observe les décors à 360&nbsp;degrés et résous les énigmes! &nbsp;",,"<p data-mce-fragment=""1"">Prisonnier sur une île légendaire portant le nom de Libertalia, William doit amasser 400 doublons d’or afin d’acheter sa liberté. Mais voilà qu’il entend parler du célèbre pirate La Buse. Avant de mourir, ce bandit des mers aurait lancé dans la foule un mystérieux message codé que personne n’a réussi à déchiffrer jusqu’à maintenant. William parviendra-t-il à résoudre cette énigme et à mettre la main sur le précieux butin afin de rentrer à la maison?</p>
<p data-mce-fragment=""1""><em>*Note: Aventuriers des mers 1 est une adaptation pour les plus jeunes lecteurs de Bandits des mers 1 avec quelques nouvelles énigmes!</em></p>",,,,,,,,,,,kg,,,active
spectacle-et-rivalite,Spectacle et rivalité,"<div id=""comp-ksqkyxib"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"" data-mce-fragment=""1"">
<h4 class=""font_2"" data-mce-fragment=""1""><span data-mce-fragment=""1"" mce-data-marked=""1"">Reine de la glace Tome 4 | Dès 8 ans</span></h4>
<p><span>Coucou, c’est Mila! Avec la fin de la saison de patinage artistique arrive le spectacle annuel.</span></p>
<p><span> Grande nouvelle : le club des Pirouettes se joindra à nous pour l’événement. </span></p>
<p><span>Arriverons- nous à nous entendre avec nos rivaux pour créer un spectacle grandiose?</span></p>
</div>",Auzou,Non classé,"","8 ans, livreLora, patin",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Tome4CV.jpg?v=1707266362,1,"",false,,,,,,https://www.leslibraires.ca/livres/reine-de-la-glace-t-4-lora-boisvert-9782898244209.html,,,,,6-8 ans,,,,kg,,,active
la-fee-des-dents-est-amoureuse,La fée des dents est amoureuse,"<h4 class=""font_8"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Collection Mes grands albums | Dès 3 ans</span></h4>
<p><span data-mce-fragment=""1"">Dentelle, la fée des dents, est heureuse de faire la connaissance de Reblochon, le cousin de son assistant Parmesan. Lorsque le charmant mulot propose de les accompagner au village de Saint-Valentin, où ils doivent récupérer la dent de la petite Yuna, Dentelle accepte. Mais Parmesan est inquiet. Va-t-il perdre sa place auprès de la fée des dents?</span></p>
<ul></ul>",Auzou,Non classé,"","fée, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/couvFee_Page_01.jpg?v=1704902490,1,"",false,,,,,,https://www.leslibraires.ca/livres/la-fee-des-dents-est-amoureuse-carolyn-chouinard-9782898244254.html,,,,,0-5 ans,,,,kg,,,active
parcours-litteraire-bandits-des-mers,Parcours littéraire Bandits des mers,"<p data-mce-fragment=""1"">Le parcours littéraire interactif est une façon ludique d'intégrer les arts numériques et la littérature grâce à une activité clés en main que vous déployez à l'intérieur de votre établissement au moment de votre choix. Le parcours, contenant une dizaine de stations, s'inspire du roman Bandits des mers et il s'adresse aux lecteurs de 7 ans et plus. Pour accéder au contenu numérique, un appareil mobile doit être utilisé afin de balayer les illustrations. Vous pourrez ainsi observer l'environnement à 360 degrés, résoudre les énigmes et plonger au cœur de l’intrigue!</p>",Les Éditions AppLit,,"","",true,Title,Default Title,,,,,,,,"",300.0,,deny,manual,40.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/PXL_20230920_202949995_bee82313-4661-4a3a-b8d7-370f6aa021ac.jpg?v=1695404923,1,"",false,,,,,,,,,,,,,,,kg,,,active
le-tresor-perdu-du-capitaine-john,Le trésor perdu du capitaine John,"<h4 class=""font_2"">
<span>Bandits des mers </span><span>Tome 2</span><span> | </span><span data-mce-fragment=""1"">Dès 9 ans</span>
</h4>
<p data-mce-fragment=""1"">William est en route vers le continent, lorsque le galion du capitaine Boom est attaqué par Tyler et sa bande. Déterminé à revoir ses proches, l'adolescent quitte le navire en espérant atteindre l'île Sainte-Marie au plus vite. Mais les retrouvailles avec sa famille devront attendre. <br></p>
<p data-mce-fragment=""1"">Pour sauver son amie Kimora, Will doit mettre la main sur un trésor d'une valeur inestimable ayant appartenu au capitaine John Taylor. </p>
<p data-mce-fragment=""1"">Saura-t-il éviter les nombreux pièges qui se dresseront sur son chemin? </p>",Les éditions AppLit,Non classé,"",Livre,true,Title,Default Title,,,,,,,,,290.0,,deny,manual,25.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Roman_Bandit-de-mer_Tome-2_CV_V5.jpg?v=1695403347,1,"",false,,"Lora Boisvert et Carolyn Chouinard te proposent une expérience immersive géniale alliant littérature et réalité augmentée. Grâce à l’application numérique, plonge au cœur de l’intrigue, observe les décors à 360&nbsp;degrés et résous les énigmes! &nbsp;",,"William est en route vers le continent, lorsque le galion du capitaine Boom est attaqué par Tyler et sa bande. Déterminé à revoir ses proches, l'adolescent quitte le navire en espérant atteindre l'île Sainte-Marie au plus vite. Mais les retrouvailles avec sa famille devront attendre. 

Pour sauver son amie Kimora, Will doit mettre la main sur un trésor d'une valeur inestimable ayant appartenu au capitaine John Taylor. 

Saura-t-il éviter les nombreux pièces qui se dresseront sur son chemin? ",,,,,,,,,,,kg,,,active
lautre-monde,La quête,"<div data-mce-fragment=""1"" id=""comp-ksqkyxib"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"">
<h4 data-mce-fragment=""1"" class=""font_2"">Collection L'Autre Monde Tome 1 | Dès 9 ans<br>
</h4>
</div>
<div data-mce-fragment=""1"" id=""comp-ksqkyxie"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"">
<p data-mce-fragment=""1"" class=""font_8""><span data-mce-fragment=""1"">Depuis son enfance, Tomas travaille sur le bateau qui appartient à son grand-père et qui assure le transport vers la Grosse-île pendant la saison estivale. Alors que l’adolescent célèbre tout juste son quinzième anniversaire, d’étranges phénomènes se produisent en sa présence. Des illustrations apparaissent sur les pages d’un grimoire que lui a offert sa meilleure amie tandis que des rêves prémonitoires hantent ses nuits. Et si ces manifestations avaient un lien avec son arrière-arrière-grand-père ? À ce qu’on raconte, son ancêtre possédait des dons particuliers et une mèche blanche ornait sa tignasse rousse, tout comme la sienne…</span>              </p>
</div>",Éditions Boomerang,Non classé,"","9 ans, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/CV_Slalom_LautreMonde1_E4.jpg?v=1691698443,1,"",false,,,https://boomerangjeunesse.com/wp-content/uploads/2023/08/BM_Fiche-pedagogique_Slalom_lautre-monde.pdf,,https://www.calameo.com/read/003761792dd336b398827,https://www.leslibraires.ca/livres/l-autre-monde-01-la-quete-carolyn-chouinard-9782897098629.html,,,,,9-12 ans,,,,kg,,,active
compte-a-rebours,Enquête à Camelot,"<div id=""comp-ksqkyxib"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"">
<h4 class=""font_2"">Compte à rebours - Tome 1 | Dès 8 ans<br>
</h4>
</div>
<div id=""comp-ksqkyxie"" class=""_1Q9if _3bcaz"" data-testid=""richTextElement"">
<p class=""font_8"" style=""text-align: left;""><span>Lorsque son grand-père disparaît, Nathan, un jeune garçon de douze ans, part à sa recherche. Il découvre que la machine à gommes qui se trouve dans le bureau de Léo n’a pas qu’une seule fonction. Elle permet aussi de voyager dans le temps ! Bien malgré lui, Nathan sera téléporté au Moyen-Âge. Il devra aider son grand-père à retrouver l’épée Excalibur qui appartient au roi Arthur. Nathan n’aura que quarante-huit heures pour résoudre l’enquête, sinon, lui et son grand-père resteront coincés à tout jamais dans le passé...</span></p>
</div>",Andara,Non classé,"","9 ans, LivreCaro",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/products/compterebours.jpg?v=1678474750,1,"",false,,,,,https://www.calameo.com/read/003761792e660b63a53b9,https://www.leslibraires.ca/livres/compte-a-rebours-t-1-enquete-carolyn-chouinard-9782897466480.html,,,,qui-es-tu-mysterieux-inconnu,9-12 ans,,,,kg,,,active
